#TimeStamp;DistanceTraveled
59.85;468.44
119.77;453.89
179.95;197.4
239.92;195.32
299.73;321.77
359.7;225.07
419.76;183.33
479.59;80.27
539.77;87.82
599.93;99.11
659.83;143.78
719.96;158.12
779.64;232.54
839.97;192.62
899.79;112.16
959.87;155.87
1019.8;310.18
1079.76;285.84
1139.96;72.47
1199.98;0
1260;0
1319.98;0
1379.96;0
1439.98;0
1499.63;0
1559.98;0
1619.99;0
1679.64;0
1739.98;0
1799.96;0
1859.93;0
1919.91;0
1979.89;0
2039.91;0
2099.9;0
2159.97;0
2219.99;0
2279.96;0
2339.98;0
2399.96;0
2459.97;0
2520;0
2579.98;0
2640;0
2699.98;0
2759.63;0
2819.97;0
2879.99;0
2939.64;0
2999.98;0
3059.96;0
3119.93;0
3179.91;0
3239.89;0
3299.91;0
3359.89;0
3419.97;0
3479.99;0
3539.96;0
3599.98;0
3659.96;0
3719.97;0
3780;0
3839.98;0
3900;0
3959.98;0
4019.63;0
4079.97;0
4139.99;0
4199.64;0
4259.98;0
4319.96;0
4379.93;0
4439.91;0
4499.89;0
4559.91;0
4619.89;0
4679.97;0
4739.99;0
4799.96;0
4859.98;0
4919.96;0
4979.97;0
5040;0
5099.98;0
5160;0
5219.98;0
5279.63;0
5339.97;0
5399.99;0
5459.64;0
5519.98;0
5579.96;0
5639.93;0
5699.91;0
5759.89;0
5819.91;0
5879.89;0
5939.97;0
5999.99;0
6059.96;0
6119.98;0
6179.96;0
6239.97;0
6300;0
6359.98;0
6420;0
6479.98;0
6539.63;0
6599.97;0
6659.99;0
6719.64;0
6779.98;0
6839.96;0
6899.93;0
6959.91;0
7019.89;0
7079.91;0
7139.89;0
7199.97;0
