#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.99;4;0;0;30.17;0;30.18;0;0.54
119.98;6;0;0;57.81;0;57.82;0;0.51
179.66;6;0;0;85.7;0;85.71;0;0.58
239.92;10;0;0;68.35;0;68.35;0;0.55
299.58;13;0;0;101.83;0;101.84;0;0.51
359.98;14;0;0;131.41;0;131.42;0;0.49
419.85;16;0;0;142.6;0;142.61;0;0.51
479.87;16;0;0;196.15;0;196.16;0;0.52
539.69;16;0;0;253.13;0;253.14;0;0.54
599.76;16;0;0;299.8;0;299.81;0;0.54
659.99;16;0;0;347.29;0;347.3;0;0.52
719.98;16;0;0;379.75;0;379.76;0;0.6
779.6;16;0;0;435.94;0;435.95;0;0.61
839.72;16;0;0;0;0;0;0;0
899.9;16;0;0;0;0;0;0;0
959.99;16;0;0;0;0;0;0;0
1019.76;16;0;0;0;0;0;0;0
1080;16;0;0;0;0;0;0;0
1139.61;16;0;0;0;0;0;0;0
1199.65;16;0;0;0;0;0;0;0
1259.97;16;0;0;0;0;0;0;0
1319.66;16;0;0;0;0;0;0;0
1380;16;0;0;0;0;0;0;0
1439.86;16;0;0;0;0;0;0;0
1499.64;16;0;0;0;0;0;0;0
1559.97;16;0;0;0;0;0;0;0
1619.91;16;0;0;0;0;0;0;0
1679.68;16;0;0;0;0;0;0;0
1739.99;16;0;0;0;0;0;0;0
1799.95;16;0;0;0;0;0;0;0
1859.99;16;0;0;0;0;0;0;0
1919.99;16;0;0;0;0;0;0;0
1979.99;16;0;0;0;0;0;0;0
2039.98;16;0;0;0;0;0;0;0
2099.84;16;0;0;0;0;0;0;0
2159.62;16;0;0;0;0;0;0;0
2219.98;16;0;0;0;0;0;0;0
2279.89;16;0;0;0;0;0;0;0
2339.66;16;0;0;0;0;0;0;0
2399.97;16;0;0;0;0;0;0;0
2459.93;16;0;0;0;0;0;0;0
2519.97;16;0;0;0;0;0;0;0
2579.97;16;0;0;0;0;0;0;0
2639.98;16;0;0;0;0;0;0;0
2699.96;16;0;0;0;0;0;0;0
2759.83;16;0;0;0;0;0;0;0
2819.6;16;0;0;0;0;0;0;0
2879.96;16;0;0;0;0;0;0;0
2939.87;16;0;0;0;0;0;0;0
2999.64;16;0;0;0;0;0;0;0
3060;16;0;0;0;0;0;0;0
3119.91;16;0;0;0;0;0;0;0
3180;16;0;0;0;0;0;0;0
3240;16;0;0;0;0;0;0;0
3299.89;16;0;0;0;0;0;0;0
3359.92;16;0;0;0;0;0;0;0
3419.74;16;0;0;0;0;0;0;0
3479.93;16;0;0;0;0;0;0;0
3539.92;16;0;0;0;0;0;0;0
3599.78;16;0;0;0;0;0;0;0
3659.98;16;0;0;0;0;0;0;0
3719.91;16;0;0;0;0;0;0;0
3779.83;16;0;0;0;0;0;0;0
3839.91;16;0;0;0;0;0;0;0
3899.91;16;0;0;0;0;0;0;0
3959.85;16;0;0;0;0;0;0;0
4020;16;0;0;0;0;0;0;0
4079.7;16;0;0;0;0;0;0;0
4139.89;16;0;0;0;0;0;0;0
4199.99;16;0;0;0;0;0;0;0
4259.75;16;0;0;0;0;0;0;0
4319.94;16;0;0;0;0;0;0;0
4379.99;16;0;0;0;0;0;0;0
4439.79;16;0;0;0;0;0;0;0
4499.98;16;0;0;0;0;0;0;0
4559.98;16;0;0;0;0;0;0;0
4619.83;16;0;0;0;0;0;0;0
4679.98;16;0;0;0;0;0;0;0
4739.68;16;0;0;0;0;0;0;0
4799.88;16;0;0;0;0;0;0;0
4859.97;16;0;0;0;0;0;0;0
4919.73;16;0;0;0;0;0;0;0
4979.92;16;0;0;0;0;0;0;0
5039.97;16;0;0;0;0;0;0;0
5099.77;16;0;0;0;0;0;0;0
5159.96;16;0;0;0;0;0;0;0
5219.96;16;0;0;0;0;0;0;0
5279.82;16;0;0;0;0;0;0;0
5339.96;16;0;0;0;0;0;0;0
5399.67;16;0;0;0;0;0;0;0
5459.86;16;0;0;0;0;0;0;0
5519.96;16;0;0;0;0;0;0;0
5579.71;16;0;0;0;0;0;0;0
5639.9;16;0;0;0;0;0;0;0
5700;16;0;0;0;0;0;0;0
5759.69;16;0;0;0;0;0;0;0
5819.88;16;0;0;0;0;0;0;0
5879.92;16;0;0;0;0;0;0;0
5939.73;16;0;0;0;0;0;0;0
5999.92;16;0;0;0;0;0;0;0
6059.58;16;0;0;0;0;0;0;0
6119.77;16;0;0;0;0;0;0;0
6179.92;16;0;0;0;0;0;0;0
6239.62;16;0;0;0;0;0;0;0
6299.82;16;0;0;0;0;0;0;0
6359.91;16;0;0;0;0;0;0;0
6419.65;16;0;0;0;0;0;0;0
6479.84;16;0;0;0;0;0;0;0
6540;16;0;0;0;0;0;0;0
6599.69;16;0;0;0;0;0;0;0
6659.99;16;0;0;0;0;0;0;0
6719.96;16;0;0;0;0;0;0;0
6779.73;16;0;0;0;0;0;0;0
6839.99;16;0;0;0;0;0;0;0
6899.58;16;0;0;0;0;0;0;0
6959.78;16;0;0;0;0;0;0;0
7019.98;16;0;0;0;0;0;0;0
7079.63;16;0;0;0;0;0;0;0
7139.82;16;0;0;0;0;0;0;0
7199.98;16;0;0;0;0;0;0;0
