#TimeStamp;Runtime;Requests
0.88;0.02;18
1.88;0;1
2.93;0;2
4.02;0;6
5.02;0;2
6.06;0;4
7.11;0;2
8.14;0;2
9.18;0;6
10.43;0;1
11.64;0;6
12.64;0;4
13.68;0;1
14.68;0;4
16.81;0;1
17.9;0;2
19.23;0;1
20.35;0;3
21.35;0;2
22.35;0;2
23.39;0;1
24.39;0;6
25.39;0;3
26.43;0;3
27.44;0;2
28.52;0;3
29.61;0;2
30.94;0;4
32.1;0;3
33.23;0;1
34.4;0;1
35.47;0;6
36.47;0;4
37.51;0;4
38.52;0;6
39.52;0;2
40.52;0;1
41.59;0;6
42.94;0;2
43.97;0;4
44.98;0;4
45.98;0;3
47.02;0;5
48.06;0;6
49.06;0;5
50.06;0;3
51.11;0;5
52.14;0;5
53.29;0;1
54.33;0;3
55.37;0;2
56.37;0;1
57.52;0;3
58.54;0;3
59.64;0;3
60.86;0;3
62.11;0;2
63.32;0;4
64.36;0;6
65.37;0;2
66.4;0;4
67.42;0;5
68.47;0;2
69.7;0;1
70.87;0;5
72.16;0;4
73.26;0;2
74.36;0;5
75.36;0;2
76.36;0;3
77.36;0;3
78.4;0;3
79.5;0;2
80.53;0;4
81.62;0;2
83.04;0;4
84.15;0;5
85.15;0;5
86.19;0;1
87.21;0;4
88.4;0;1
89.4;0;5
90.44;0;1
91.45;0;5
92.45;0;5
93.53;0;1
94.71;0;5
95.71;0;3
96.75;0;1
97.75;0;2
98.79;0;4
99.79;0;2
100.84;0;4
101.84;0;4
102.88;0;3
103.88;0;2
104.93;0;2
105.93;0;1
106.97;0;3
107.97;0;4
109.01;0;2
110.02;0;3
111.05;0;4
112.05;0;3
113.05;0;1
114.1;0;2
115.14;0;3
116.14;0;4
117.15;0;2
118.15;0;2
119.32;0;2
120.6;0;3
121.64;0;4
122.65;0;3
123.97;0;1
125.03;0;5
126.06;0;1
127.08;0;4
128.13;0;1
129.39;0;2
130.49;0;3
131.56;0;3
132.58;0;3
134.63;0;1
135.65;0;2
136.67;0;3
137.69;0;1
139.04;0;1
140.08;0;1
141.42;0;1
143.21;0;1
144.29;0;2
146.09;0;1
147.09;0;3
148.12;0;1
149.36;0;1
150.63;0;1
151.64;0;1
153.09;0;1
154.16;0;2
156.31;0;1
157.36;0;1
159.01;0;1
160.42;0;1
161.68;0;1
166.01;0;1
167.3;0;1
169.35;0;1
171.35;0;1
172.55;0;1
174.18;0;1
175.27;0;2
176.27;0;2
177.29;0;1
179.44;0;2
181.46;0;2
182.63;0;1
183.66;0;1
184.75;0;1
185.79;0;1
186.79;0;4
187.84;0;1
188.93;0;1
190.22;0;1
191.25;0;1
192.65;0;2
193.72;0;1
194.81;0;3
195.81;0;1
196.85;0;1
197.85;0;1
199.52;0;2
200.56;0;1
201.56;0;1
203.23;0;1
204.32;0;1
205.58;0;1
206.81;0;2
207.83;0;1
209.12;0;1
210.28;0;1
211.78;0;1
213.13;0;1
