#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.99;0;0;0;3;0/59.99;0/59.99,1/59.99,2/59.99;0/0;0/59.99,1/59.99,2/59.99;0/0;0/3,1/8,2/6;0/0;0/11,1/12,2/12;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
119.98;0;11;0;3;0/119.98;0/68.64,1/74.09,2/86.15;0/0;0/119.98,1/119.98,2/119.98;0/0;0/4,1/15,2/7;0/0;0/11,1/17,2/15;0/0;0/0,1/0,2/0;0/0;0/5,1/3,2/3;0/0;0/6,1/5,2/4
179.66;0;21;0;3;0/179.66;0/68.97,1/84.6,2/86.81;0/0;0/179.66,1/179.66,2/179.66;0/0;0/8,1/14,2/10;0/0;0/17,1/16,2/16;0/0;0/0,1/0,2/0;0/0;0/8,1/5,2/8;0/0;0/12,1/10,2/10
239.92;0;35;0;3;0/239.92;0/70.67,1/96.42,2/88.52;0/0;0/239.92,1/239.92,2/239.92;0/0;0/23,1/26,2/15;0/0;0/31,1/28,2/22;0/0;0/0,1/0,2/0;0/0;0/13,1/10,2/12;0/0;0/18,1/15,2/16
299.58;0;43;0;3;0/299.58;0/71.61,1/122.25,2/89.19;0/0;0/299.58,1/299.58,2/299.58;0/0;0/25,1/27,2/17;0/0;0/32,1/28,2/25;0/0;0/0,1/0,2/0;0/0;0/16,1/13,2/14;0/0;0/24,1/18,2/22
359.98;0;58;0;3;0/359.98;0/72.16,1/143.03,2/89.93;0/0;0/359.98,1/359.98,2/359.98;0/0;0/25,1/27,2/13;0/0;0/30,1/28,2/22;0/0;0/0,1/0,2/0;0/0;0/21,1/17,2/20;0/0;0/30,1/22,2/28
419.85;0;69;0;3;0/419.85;0/73.18,1/193.25,2/90.92;0/0;0/419.85,1/419.85,2/419.85;0/0;0/30,1/31,2/12;0/0;0/34,1/33,2/22;0/0;0/0,1/0,2/0;0/0;0/26,1/18,2/25;0/0;0/36,1/23,2/34
479.87;0;80;0;3;0/479.87;0/74.55,1/218.14,2/92.02;0/0;0/479.87,1/479.87,2/479.87;0/0;0/21,1/28,2/9;0/0;0/28,1/29,2/16;0/0;0/0,1/0,2/0;0/0;0/28,1/22,2/30;0/0;0/42,1/27,2/40
539.69;0;90;0;3;0/539.69;0/75.07,1/234.5,2/92.75;0/0;0/539.69,1/539.69,2/539.69;0/0;0/19,1/21,2/1;0/0;0/22,1/24,2/10;0/0;0/0,1/0,2/0;0/0;0/34,1/23,2/33;0/0;0/48,1/32,2/46
599.76;0;101;0;3;0/599.76;0/76,1/235.16,2/93.66;0/0;0/599.76,1/599.76,2/599.76;0/0;0/12,1/11,2/0;0/0;0/16,1/18,2/4;0/0;0/0,1/0,2/0;0/0;0/37,1/25,2/39;0/0;0/54,1/38,2/52
