#TimeStamp;Bot;Pod;OutputStation
59.22;14;291;1
61.09;12;362;2
72.7;8;103;1
83.01;14;291;2
85.27;4;383;0
87.23;12;362;1
92.86;5;326;2
97.36;1;99;0
100.03;13;286;1
103.03;16;308;2
107.24;7;95;0
110.11;13;286;1
112.84;2;100;2
117.46;17;75;0
120.13;0;101;1
123.06;2;100;2
127.43;10;219;0
132.99;6;80;2
137.48;8;103;0
143.09;3;201;2
143.98;7;95;1
147.38;12;362;0
153.18;4;383;2
155.18;10;219;1
157.39;12;362;0
163.1;1;99;2
165.21;10;219;1
167.5;12;362;0
173.22;13;286;2
175.43;3;201;1
177.52;9;332;0
183.52;17;75;2
185.14;4;383;1
187.56;5;326;0
193.63;8;103;2
195.41;4;383;1
197.72;5;326;0
203.7;3;201;2
205.41;4;383;1
207.71;5;326;0
213.68;9;332;2
215.36;1;99;1
217.72;5;326;0
223.72;12;362;2
225.52;13;286;1
227.74;11;393;0
233.65;12;362;2
235.46;14;44;1
237.7;2;100;0
243.62;12;362;2
245.56;7;13;1
247.56;16;308;0
253.53;10;219;2
255.79;9;332;1
257.49;16;308;0
263.76;1;99;2
266.08;3;201;1
267.6;6;80;0
273.94;5;326;2
276;11;393;1
277.55;6;80;0
284.03;5;326;2
285.75;11;393;1
287.75;6;80;0
294.08;2;100;2
296.03;11;393;1
297.68;15;96;0
304.07;7;13;2
306.11;10;219;1
307.8;0;101;0
314.14;9;332;2
316.19;4;327;1
317.86;0;101;0
324.12;9;332;2
326.08;4;327;1
327.77;17;75;0
334.18;11;393;2
336.18;4;327;1
338.08;17;75;0
344.22;15;96;2
346.15;16;308;1
347.94;8;103;0
354.49;10;219;2
355.98;6;80;1
358.24;13;286;0
364.57;0;101;2
366.25;6;80;1
368.34;12;362;0
374.51;4;327;2
376.42;6;80;1
378.5;3;201;0
384.63;17;75;2
386.31;6;80;1
388.3;3;201;0
394.7;8;103;2
396.08;9;332;1
398.45;3;201;0
404.52;8;103;2
406.43;9;332;1
408.47;1;99;0
414.74;12;362;2
416.47;7;13;1
418.59;2;100;0
424.63;6;80;2
426.51;15;96;1
428.72;14;95;0
434.76;6;80;2
436.5;15;96;1
438.78;14;95;0
444.76;1;99;2
446.21;5;262;1
448.9;11;393;0
454.81;3;201;2
456.58;13;286;1
458.93;11;393;0
464.93;2;100;2
466.65;0;101;1
469.14;16;308;0
475.32;14;95;2
477.07;10;229;1
479.18;4;327;0
485.4;5;262;2
487.14;10;229;1
489.14;17;75;0
497.31;8;103;1
499.34;17;75;0
507.13;12;362;1
509.29;9;332;0
509.62;4;327;2
517.37;6;80;1
519.41;7;13;0
519.71;10;229;2
527.14;11;393;1
529.46;15;96;0
529.73;8;103;2
537.28;11;393;1
539.56;1;99;0
544.44;6;80;2
547.19;16;308;1
549.61;13;286;0
554.29;6;80;2
557.37;7;13;1
559.76;3;201;0
564.51;15;96;2
567.17;9;332;1
569.68;2;100;0
574.55;15;96;2
577.42;9;332;1
579.45;14;95;0
584.8;15;96;2
587.24;9;332;1
589.75;14;95;0
594.84;17;75;2
597.46;8;103;1
599.55;0;101;0
604.88;17;75;2
607.41;2;100;1
609.8;5;262;0
614.6;16;308;2
617.27;2;100;1
619.73;4;327;0
624.86;7;13;2
627.44;2;100;1
630.01;10;229;0
634.9;3;201;2
637.48;6;80;1
640.15;11;393;0
644.94;9;332;2
647.53;6;80;1
650.2;12;362;0
654.99;14;95;2
657.52;0;101;1
664.54;13;236;0
665.06;8;103;2
667.19;17;75;1
677.57;1;99;1
687.61;15;96;1
697.54;10;229;1
707.3;7;13;1
717.43;4;327;1
727.68;16;308;1
737.89;5;262;1
