#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.86;0.99;18;0;0;0;0;0;0;0;0;0
1199.98;0.99;18;0;0;0;0;0;0;0;0;0
1799.59;0.99;18;0;0;0;0;0;0;0;0;0
2399.59;0.99;18;0;0;0;0;0;0;0;0;0
2999.59;0.99;18;0;0;0;0;0;0;0;0;0
3599.59;0.99;18;0;0;0;0;0;0;0;0;0
4199.59;0.99;18;0;0;0;0;0;0;0;0;0
4799.59;0.99;18;0;0;0;0;0;0;0;0;0
5399.59;0.99;18;0;0;0;0;0;0;0;0;0
5999.59;0.99;18;0;0;0;0;0;0;0;0;0
6599.59;0.99;18;0;0;0;0;0;0;0;0;0
7199.59;0.99;18;0;0;0;0;0;0;0;0;0
