#TimeStamp;TripTime;Type
42;23;O
46;14;O
56;23;O
66;23;O
69;37;O
75;39;O
78;16;O
79;38;O
80;33;O
86;47;O
86;53;O
87;33;O
88;45;O
91;38;O
94;46;O
102;30;O
105;19;O
107;40;O
110;16;O
111;39;O
113;59;O
113;17;O
116;40;O
122;16;O
124;20;O
139;15;O
143;17;O
150;50;O
160;16;O
165;33;O
166;30;O
171;21;O
175;55;O
175;14;O
180;23;O
182;18;O
183;37;O
186;16;O
190;24;O
194;19;O
202;17;O
207;21;O
208;27;O
217;16;O
240;25;O
241;20;O
241;17;O
245;28;O
252;17;O
252;25;O
261;16;O
264;27;O
273;32;O
281;24;O
281;50;O
287;40;O
288;23;O
292;21;O
297;15;O
297;22;O
316;21;O
324;22;O
327;30;O
333;22;O
341;24;O
346;21;O
351;23;O
355;20;O
360;53;O
362;16;O
364;17;O
367;45;O
370;33;O
371;29;O
383;18;O
384;26;O
386;46;O
393;25;O
396;24;O
404;22;O
404;16;O
415;22;O
425;19;O
427;41;O
436;20;O
443;17;O
449;31;O
454;16;O
457;25;O
458;16;O
463;29;O
469;20;O
480;17;O
489;21;O
495;22;O
497;25;O
504;25;O
504;15;O
514;15;O
529;46;O
537;18;O
538;46;O
539;15;O
551;29;O
554;17;O
556;43;O
556;27;O
562;14;O
565;33;O
573;20;O
574;16;O
581;18;O
590;28;O
592;26;O
598;20;O
598;44;O
601;28;O
605;17;O
605;23;O
607;15;O
622;39;O
630;32;O
633;30;O
639;22;O
643;20;O
650;22;O
652;35;O
658;20;O
663;20;O
668;60;O
684;72;O
712;58;O
