#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
107.18;1;100.44;100.41;-Infinity;100.44;100.44
134.54;0;128.34;128.34;-Infinity;128.34;128.34
150.31;1;117.87;117.87;-Infinity;117.87;117.87
184.98;0;160.06;160.06;-Infinity;160.06;160.06
195.03;0;154.26;154.26;-Infinity;154.26;154.26
196.98;2;162.85;162.85;-Infinity;162.85;162.85
215.13;0;134.27;134.27;-Infinity;134.27;134.27
216.75;2;157.53;157.53;-Infinity;157.53;157.53
247.12;2;224.32;224.32;-Infinity;224.32;224.32
251.48;1;210.46;210.42;-Infinity;210.46;210.46
257.05;2;168.05;168.05;-Infinity;168.05;168.05
261.68;1;174.01;174.01;-Infinity;174.01;174.01
265.35;0;171.63;171.6;-Infinity;171.63;171.63
277.11;2;171.51;171.51;-Infinity;171.51;171.51
315.09;1;210.51;210.48;-Infinity;210.51;210.51
315.69;0;193.97;193.97;-Infinity;193.97;193.97
337.38;2;170.98;170.98;-Infinity;170.98;170.98
347.46;2;154.53;154.53;-Infinity;154.53;154.53
355.72;0;220.77;220.77;-Infinity;220.77;220.77
387.3;2;169.46;169.46;-Infinity;169.46;169.46
400.63;1;274.8;274.8;-Infinity;274.8;274.80
405.96;0;228.67;228.66;-Infinity;228.67;228.67
416.12;0;223.9;223.9;-Infinity;223.9;223.90
430.92;1;321.54;321.54;-Infinity;321.54;321.54
446.62;0;230.14;230.14;-Infinity;230.14;230.14
450.84;1;268.94;268.94;-Infinity;268.94;268.94
471.23;1;244;244;-Infinity;244;244.00
481.26;1;325.73;325.7;-Infinity;325.73;325.73
486.72;0;268.86;268.84;-Infinity;268.86;268.86
487.63;2;266.48;266.48;-Infinity;266.48;266.48
526.99;0;304.01;304.01;-Infinity;304.01;304.01
527.68;2;290.58;290.54;-Infinity;290.58;290.58
531.41;1;298.9;298.9;-Infinity;298.9;298.90
551.13;1;296;295.99;-Infinity;296;296.00
567.8;2;339.91;339.91;-Infinity;339.91;339.91
587.98;2;325.74;325.74;-Infinity;325.74;325.74
589.66;0;360.29;360.29;-Infinity;360.29;360.29
611.51;1;287.83;287.82;-Infinity;287.83;287.83
628.26;2;340.77;340.77;-Infinity;340.77;340.77
631.64;1;359.74;359.74;-Infinity;359.74;359.74
648.35;2;316.55;316.55;-Infinity;316.55;316.55
661.61;1;285.62;285.62;-Infinity;285.62;285.62
665.93;0;422.36;422.36;-Infinity;422.36;422.36
678.54;2;318.49;318.49;-Infinity;318.49;318.49
685.96;0;369.79;369.79;-Infinity;369.79;369.79
696.36;0;334.29;334.29;-Infinity;334.29;334.29
708.65;2;318.68;318.68;-Infinity;318.68;318.68
716.4;0;352.78;352.78;-Infinity;352.78;352.78
718.74;2;334.03;334.03;-Infinity;334.03;334.03
728.98;2;366.12;366.12;-Infinity;366.12;366.12
