#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;39.74;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.81;42.14;0.52;PP/0.09,TA/0.12,IS/0,PS/0,RB/0,OB/0.02,RP/0
120;43.38;0.66;PP/0.13,TA/0.12,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.93;42.85;0.78;PP/0.16,TA/0.13,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.79;43.04;0.89;PP/0.17,TA/0.14,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
299.98;43.5;0.99;PP/0.19,TA/0.16,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
359.58;42.96;1.06;PP/0.21,TA/0.16,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
419.87;43.21;1.17;PP/0.23,TA/0.18,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
479.6;43.35;1.29;PP/0.26,TA/0.2,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
539.72;43.35;1.35;PP/0.28,TA/0.2,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
599.9;43.36;1.47;PP/0.32,TA/0.2,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
659.86;43.34;1.56;PP/0.34,TA/0.21,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
719.82;43.84;1.7;PP/0.37,TA/0.24,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
779.77;44.02;1.9;PP/0.38,TA/0.39,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
839.98;44.33;2.18;PP/0.38,TA/0.65,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
899.78;44.62;2.49;PP/0.38,TA/0.94,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
959.7;43.82;2.78;PP/0.38,TA/1.21,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1019.96;44.1;3.06;PP/0.38,TA/1.47,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1079.88;44.39;3.36;PP/0.38,TA/1.75,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1139.98;44.69;3.64;PP/0.38,TA/2.02,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
