#TimeStamp;Bot;Pod;OutputStation
35.64;0;82;0
45.45;0;82;0
55.73;0;82;0
65.71;0;82;0
75.6;0;82;0
85.61;0;82;0
86.6;3;84;1
95.77;1;106;0
105.59;1;106;0
115.72;1;106;0
125.71;4;66;0
135.8;4;66;0
145.85;5;135;0
155.9;2;152;0
158.95;4;66;1
166.28;3;84;0
169.07;0;92;1
178.8;0;92;1
182.16;4;66;0
189.09;5;135;1
192.34;4;66;0
198.78;5;135;1
203.91;0;92;0
208.93;5;135;1
218.72;5;135;1
229.12;5;135;1
239.11;2;152;1
249.07;1;38;1
252.63;5;135;0
259.19;3;84;1
264.28;2;152;0
269.58;4;66;1
274.3;1;38;0
279.62;4;66;1
288.47;3;84;0
289.85;4;66;1
300;0;92;1
309.94;0;92;1
314.18;4;66;0
320.23;2;152;1
324.52;4;66;0
330.28;2;152;1
334.6;0;92;0
340.51;5;135;1
350.59;5;135;1
354.89;2;152;0
360.67;1;38;1
370.31;1;38;1
376.83;5;135;0
380.68;3;84;1
390.72;3;84;1
398.06;1;38;0
400.71;0;92;1
408.35;1;38;0
410.84;2;152;1
418.62;3;84;0
420.88;4;99;1
428.77;3;84;0
430.93;5;135;1
439;3;84;0
441.2;1;38;1
449.12;3;84;0
451.15;1;38;1
458.94;3;84;0
469.08;0;92;0
479.16;0;92;0
482.14;3;84;1
488.8;0;92;0
498.95;2;152;0
509.21;5;135;0
512.05;0;92;1
519.25;1;38;0
522.19;4;94;1
529.24;3;84;0
532.24;2;152;1
539.15;0;92;0
542.16;5;135;1
552.17;5;135;1
556.18;2;152;0
561.88;5;135;1
572.1;5;135;1
582.09;1;38;1
592.05;3;84;1
595.85;5;135;0
602.3;0;92;1
605.71;5;135;0
612.3;2;152;1
615.85;1;38;0
624.39;4;3;1
625.93;3;84;0
634.43;4;3;1
636.02;0;92;0
644.81;1;38;1
646.02;0;92;0
654.86;1;38;1
655.95;2;152;0
664.56;5;135;1
674.56;5;135;1
682.36;1;38;0
684.64;3;84;1
692.58;1;38;0
694.9;0;92;1
704.67;2;152;1
708.04;3;84;0
715.04;4;164;1
722.23;0;92;0
732.08;3;84;1
732.31;0;92;0
741.96;3;84;1
742.31;0;92;0
752.21;3;84;1
752.36;2;152;0
762.3;1;38;1
762.34;4;164;0
772.34;0;92;1
772.38;4;164;0
782.11;0;92;1
782.38;5;119;0
792.06;2;152;1
792.42;5;119;0
802.23;2;152;1
802.8;3;84;0
812.12;2;152;1
812.84;1;38;0
822.25;4;164;1
822.83;1;38;0
832.38;4;164;1
833.05;0;92;0
842.1;4;164;1
842.71;0;92;0
852.34;4;164;1
852.84;0;92;0
862.28;4;164;1
862.89;2;152;0
872.45;4;164;1
873.07;2;152;0
882.47;5;119;1
892.52;3;84;1
898.25;4;164;0
902.55;3;84;1
908.46;4;164;0
912.55;1;38;1
918.85;5;119;0
922.64;0;92;1
928.9;5;119;0
932.79;2;152;1
939.3;1;38;0
942.83;2;152;1
949.27;1;38;0
953.23;2;152;1
959.34;1;38;0
963.23;2;152;1
969.69;0;92;0
973.14;4;164;1
979.36;0;92;0
983.14;4;164;1
989.75;0;92;0
993.26;5;119;1
999.38;2;152;0
1003.18;5;119;1
1009.79;4;164;0
1013.26;5;119;1
1023.24;3;67;1
1033.3;1;38;1
1037.57;5;119;0
1043.34;0;92;1
1049.18;3;67;0
1053.28;2;152;1
1059.22;3;67;0
1063.4;5;119;1
1069.22;3;67;0
1073.53;5;119;1
1079.22;1;38;0
1083.43;5;119;1
1088.89;1;38;0
1094.69;4;155;1
1099.27;0;92;0
1109.38;0;92;0
1111.85;1;38;1
1119.04;2;152;0
1121.92;1;38;1
1129.47;2;152;0
1133.77;0;92;1
1139.67;2;152;0
1143.77;0;92;1
1149.56;2;152;0
1159.74;5;119;0
1169.53;1;38;0
1172.89;2;152;1
1179.89;1;38;0
1182.89;2;152;1
1189.94;1;38;0
1192.93;2;152;1
1200;3;102;0
1202.81;2;152;1
1212.99;4;163;1
1223.04;4;163;1
1227.02;2;152;0
1232.78;1;38;1
1237.12;2;152;0
1243.07;1;38;1
1247.17;2;152;0
1252.96;3;102;1
1257.44;2;152;0
1263.11;0;161;1
1267.37;2;152;0
1277.3;2;152;0
1287.3;5;71;0
1297.59;4;163;0
1300.74;2;152;1
1308.01;1;38;0
1310.64;2;152;1
1318.2;3;102;0
1320.84;2;152;1
1328.36;3;102;0
1334.03;1;38;1
1338.41;0;161;0
1344.46;1;38;1
1348.24;2;152;0
1354.53;3;102;1
1358.34;2;152;0
1364.34;3;102;1
1368.34;2;152;0
1374.44;3;102;1
1378.34;2;152;0
1384.26;3;102;1
1388.32;1;38;0
1394.65;0;161;1
1398.23;1;38;0
1404.69;2;152;1
1408.36;1;38;0
1414.73;2;152;1
1418.4;4;49;0
1424.68;2;152;1
1428.45;5;75;0
1434.72;2;152;1
1438.45;3;102;0
1444.65;1;38;1
1448.32;0;161;0
1454.78;4;49;1
1464.46;2;152;0
1465.2;5;75;1
1474.15;2;152;0
1475.6;3;102;1
1484.53;1;38;0
1485.52;0;161;1
1494.54;4;49;0
1504.58;4;49;0
1515;5;75;0
1518.97;1;38;1
1525.04;3;102;0
1528.7;1;38;1
1535.4;3;102;0
1539.1;4;49;1
1545.23;3;102;0
1549.15;4;49;1
1555.38;3;102;0
1559.57;5;75;1
1565.34;0;161;0
1569.43;2;109;1
1575.39;0;161;0
1580.46;3;102;1
1585.27;1;38;0
1595.35;4;49;0
1598.73;0;161;1
1608.85;0;161;1
1610.11;3;102;0
1619.08;0;161;1
1625.32;2;109;0
1629.27;1;38;1
1639.09;1;38;1
1649.21;4;49;1
1659.44;5;96;1
1659.48;0;161;0
1669.48;5;96;1
1669.58;1;38;0
1679.52;3;102;1
1679.57;1;38;0
1689.44;3;102;1
1689.57;4;49;0
1699.5;3;102;1
1699.63;5;96;0
1709.46;2;109;1
1719.57;0;161;1
1724.47;3;102;0
1729.44;0;161;1
1734.22;3;102;0
1739.44;0;161;1
1744.34;3;102;0
1749.39;0;161;1
1754.44;2;109;0
1759.56;0;161;1
1764.51;2;109;0
1769.61;1;38;1
1779.62;1;38;1
1789.57;4;49;1
1798.24;0;161;0
1799.66;5;96;1
1808.26;1;38;0
1809.74;3;102;1
1818.56;4;49;0
1820;3;102;1
1829.97;2;109;1
1840.16;2;109;1
1844.76;3;102;0
1850.3;2;109;1
1860.42;2;109;1
1870.57;2;109;1
1880.45;0;161;1
1890.62;0;161;1
1893.14;2;109;0
1901.01;1;38;1
1903.23;2;109;0
1911.06;1;38;1
1913.42;2;109;0
1921.33;4;49;1
1923.2;0;161;0
1931.51;3;102;1
1933.47;0;161;0
1941.77;3;102;1
1947.31;4;49;0
1951.93;3;102;1
1957.72;4;49;0
1961.77;5;46;1
1967.82;4;49;0
1971.98;2;109;1
1977.95;4;49;0
1982.02;2;109;1
1988.11;4;49;0
1992.29;2;109;1
1998.15;3;102;0
2002.11;0;161;1
2008.23;5;46;0
2012.34;1;122;1
2022.44;4;49;1
2025.46;0;161;0
2035.32;2;109;0
2076.34;3;63;1
2100.29;5;126;1
2102.46;0;2;0
2117.12;1;75;1
2122.16;3;63;0
2132.3;3;63;0
2142.56;3;63;0
2152.72;4;100;0
2162.87;2;120;0
2180;5;55;0
2190.06;1;75;0
