#TimeStamp;Runtime;Requests
0.88;0.03;6
2.93;0;1
4.02;0;1
5.05;0;3
6.06;0;1
7.17;0;1
8.52;0;1
9.84;0;1
11.03;0;1
12.11;0;1
13.19;0;1
14.41;0;1
15.51;0;2
16.77;0;1
17.9;0;1
19.1;0;1
20.42;0;1
21.51;0;1
22.8;0;1
24.16;0;1
25.43;0;1
26.52;0;1
27.74;0;1
28.83;0;1
29.96;0;1
32;0;1
33;0;2
34.05;0;1
35.09;0;1
36.14;0;1
37.17;0;3
38.22;0;3
39.26;0;1
40.44;0;1
41.82;0;2
42.89;0;1
43.94;0;1
45.99;0;1
49.31;0;1
50.58;0;3
55.42;0;1
57.99;0;1
58.99;0;1
60;0;1
62.54;0;1
64.04;0;1
65.24;0;1
68.12;0;1
69.37;0;1
70.72;0;1
72.95;0;1
75.56;0;1
79.12;0;2
89.43;0;1
90.65;0;1
94.26;0;1
96.31;0;1
99.7;0;1
100.75;0;2
108.95;0;1
110.25;0;1
114.42;0;1
118.59;0;1
119.68;0;1
124.04;0;1
129.69;0;1
135.67;0;1
136.8;0;1
138.85;0;1
139.94;0;1
141.03;0;1
144.77;0;1
146.48;0;1
148.89;0;1
149.98;0;2
151.61;0;1
153.73;0;1
154.82;0;2
155.82;0;1
160;0;1
161.85;0;1
162.94;0;2
164.52;0;1
165.61;0;1
168.44;0;1
170.17;0;1
172.02;0;1
173.11;0;2
174.37;0;1
175.42;0;1
177.55;0;1
178.61;0;1
182.74;0;1
186.12;0;1
187.14;0;1
188.63;0;1
190;0;1
191.2;0;1
192.34;0;1
193.36;0;1
194.6;0;1
195.96;0;1
197.28;0;2
198.28;0;1
200.36;0;1
202.15;0;1
203.23;0;1
207.68;0;1
210.31;0;1
212.36;0;2
213.45;0;1
215.03;0;1
217.7;0;1
220.57;0;1
221.62;0;1
222.71;0;1
224.08;0;1
232.94;0;1
238.44;0;1
242.3;0;1
243.39;0;1
247.8;0;1
251.97;0;1
253.02;0;1
254.85;0;1
256.64;0;1
258.52;0;1
261.64;0;1
263.44;0;1
264.77;0;1
267.61;0;2
269.67;0;1
270.79;0;1
272.54;0;1
273.63;0;3
276.3;0;1
277.98;0;1
279.23;0;1
280.88;0;2
281.88;0;1
282.9;0;1
284.02;0;2
292.19;0;2
294.16;0;1
295.25;0;1
297.2;0;1
298.33;0;1
299.66;0;1
302.5;0;1
303.79;0;1
304.96;0;2
306.05;0;1
308.21;0;1
313.51;0;1
317.73;0;1
319.02;0;1
324.1;0;1
325.28;0;1
328.22;0;1
334.55;0;1
338.41;0;1
340.46;0;1
343.41;0;1
344.46;0;1
345.72;0;1
346.81;0;1
351.12;0;1
352.27;0;1
354.27;0;1
355.3;0;1
356.31;0;1
357.97;0;1
359.03;0;2
360.04;0;1
362.53;0;1
363.62;0;1
364.71;0;2
365.71;0;1
368.18;0;1
371.54;0;1
