#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.71;0;0;0;2;0/59.71;0/36.23,1/59.71;0/0;0/59.71,1/59.71;0/0;0/31,1/32;0/0;0/36,1/33;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/3,1/0
119.72;0;1;0;2;0/119.72;0/37.09,1/109.76;0/0;0/119.72,1/119.72;0/0;0/35,1/38;0/0;0/39,1/38;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/9,1/1
179.91;0;7;0;2;0/179.91;0/41.81,1/149.47;0/0;0/179.91,1/179.91;0/0;0/45,1/31;0/0;0/46,1/35;0/0;0/0,1/0;0/0;0/5,1/2;0/0;0/14,1/4
239.72;0;11;0;2;0/239.72;0/72.22,1/150.6;0/0;0/239.72,1/239.72;0/0;0/42,1/25;0/0;0/43,1/29;0/0;0/0,1/0;0/0;0/7,1/4;0/0;0/17,1/10
299.71;0;19;0;2;0/299.71;0/92.96,1/152.48;0/0;0/299.71,1/299.71;0/0;0/41,1/31;0/0;0/42,1/36;0/0;0/0,1/0;0/0;0/11,1/8;0/0;0/21,1/15
359.74;0;25;0;2;0/359.74;0/118.63,1/153.97;0/0;0/359.74,1/359.74;0/0;0/37,1/28;0/0;0/38,1/33;0/0;0/0,1/0;0/0;0/14,1/11;0/0;0/25,1/21
419.9;0;32;0;2;0/419.9;0/143.28,1/155.13;0/0;0/419.9,1/419.9;0/0;0/35,1/27;0/0;0/37,1/30;0/0;0/0,1/0;0/0;0/17,1/15;0/0;0/29,1/27
479.62;0;35;0;2;0/479.62;0/144.52,1/174.58;0/0;0/479.62,1/479.62;0/0;0/31,1/33;0/0;0/34,1/35;0/0;0/0,1/0;0/0;0/18,1/17;0/0;0/35,1/31
539.72;0;44;0;2;0/539.72;0/145.86,1/197.52;0/0;0/539.72,1/539.72;0/0;0/34,1/31;0/0;0/35,1/34;0/0;0/0,1/0;0/0;0/23,1/21;0/0;0/41,1/35
599.89;0;49;0;2;0/599.89;0/182.85,1/198.84;0/0;0/599.89,1/599.89;0/0;0/33,1/25;0/0;0/36,1/28;0/0;0/0,1/0;0/0;0/25,1/24;0/0;0/43,1/41
