#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.6;0;0;0;27.13;0;27.15;0;1
119.98;0;0;0;49.06;0;49.07;0;0.63
179.71;0;0;0;62.09;0;62.1;0;0.71
239.74;0;0;0;0;0;0;0;0
299.79;1;0;0;20.09;0;20.09;0;0.72
359.79;1;0;0;87.89;0;87.89;0;0.69
419.6;2;0;0;0;0;0;0;0
479.69;2;0;0;0;0;0;0;0
539.69;2;0;0;0;0;0;0;0
599.69;2;0;0;0;0;0;0;0
659.69;2;0;0;0;0;0;0;0
719.69;2;0;0;0;0;0;0;0
779.69;2;0;0;0;0;0;0;0
839.69;2;0;0;0;0;0;0;0
899.65;2;0;0;0;0;0;0;0
959.69;2;0;0;0;0;0;0;0
1019.69;2;0;0;0;0;0;0;0
1079.69;2;0;0;0;0;0;0;0
1139.9;2;0;0;0;0;0;0;0
1199.63;2;0;0;0;0;0;0;0
1259.62;2;0;0;0;0;0;0;0
1319.92;2;0;0;0;0;0;0;0
1379.67;2;0;0;0;0;0;0;0
1439.64;2;0;0;0;0;0;0;0
1499.94;2;0;0;0;0;0;0;0
1559.61;2;0;0;0;0;0;0;0
1619.63;2;0;0;0;0;0;0;0
1679.93;2;0;0;0;0;0;0;0
1739.86;2;0;0;0;0;0;0;0
1799.72;2;0;0;0;0;0;0;0
1860;2;0;0;0;0;0;0;0
1919.85;2;0;0;0;0;0;0;0
1979.71;2;0;0;0;0;0;0;0
2039.99;2;0;0;0;0;0;0;0
2099.85;2;0;0;0;0;0;0;0
2159.71;2;0;0;0;0;0;0;0
2219.98;2;0;0;0;0;0;0;0
2279.82;2;0;0;0;0;0;0;0
2339.77;2;0;0;0;0;0;0;0
2399.63;2;0;0;0;0;0;0;0
2459.91;2;0;0;0;0;0;0;0
2519.77;2;0;0;0;0;0;0;0
2579.63;2;0;0;0;0;0;0;0
2639.9;2;0;0;0;0;0;0;0
2699.76;2;0;0;0;0;0;0;0
2759.94;2;0;0;0;0;0;0;0
2819.99;2;0;0;0;0;0;0;0
2879.72;2;0;0;0;0;0;0;0
2939.69;2;0;0;0;0;0;0;0
2999.9;2;0;0;0;0;0;0;0
3059.63;2;0;0;0;0;0;0;0
3119.62;2;0;0;0;0;0;0;0
3179.92;2;0;0;0;0;0;0;0
3239.67;2;0;0;0;0;0;0;0
3299.64;2;0;0;0;0;0;0;0
3359.94;2;0;0;0;0;0;0;0
3419.61;2;0;0;0;0;0;0;0
3479.63;2;0;0;0;0;0;0;0
3539.93;2;0;0;0;0;0;0;0
3599.86;2;0;0;0;0;0;0;0
3659.72;2;0;0;0;0;0;0;0
3720;2;0;0;0;0;0;0;0
3779.85;2;0;0;0;0;0;0;0
3839.71;2;0;0;0;0;0;0;0
3899.99;2;0;0;0;0;0;0;0
3959.85;2;0;0;0;0;0;0;0
4019.71;2;0;0;0;0;0;0;0
4079.98;2;0;0;0;0;0;0;0
4139.82;2;0;0;0;0;0;0;0
4199.77;2;0;0;0;0;0;0;0
4259.63;2;0;0;0;0;0;0;0
4319.91;2;0;0;0;0;0;0;0
4379.77;2;0;0;0;0;0;0;0
4439.63;2;0;0;0;0;0;0;0
4499.9;2;0;0;0;0;0;0;0
4559.76;2;0;0;0;0;0;0;0
4619.94;2;0;0;0;0;0;0;0
4679.99;2;0;0;0;0;0;0;0
4739.72;2;0;0;0;0;0;0;0
4799.69;2;0;0;0;0;0;0;0
4859.9;2;0;0;0;0;0;0;0
4919.63;2;0;0;0;0;0;0;0
4979.62;2;0;0;0;0;0;0;0
5039.92;2;0;0;0;0;0;0;0
5099.67;2;0;0;0;0;0;0;0
5159.64;2;0;0;0;0;0;0;0
5219.94;2;0;0;0;0;0;0;0
5279.61;2;0;0;0;0;0;0;0
5339.63;2;0;0;0;0;0;0;0
5399.93;2;0;0;0;0;0;0;0
5459.86;2;0;0;0;0;0;0;0
5519.72;2;0;0;0;0;0;0;0
5580;2;0;0;0;0;0;0;0
5639.85;2;0;0;0;0;0;0;0
5699.71;2;0;0;0;0;0;0;0
5759.99;2;0;0;0;0;0;0;0
5819.85;2;0;0;0;0;0;0;0
5879.71;2;0;0;0;0;0;0;0
5939.98;2;0;0;0;0;0;0;0
5999.82;2;0;0;0;0;0;0;0
6059.77;2;0;0;0;0;0;0;0
6119.63;2;0;0;0;0;0;0;0
6179.91;2;0;0;0;0;0;0;0
6239.77;2;0;0;0;0;0;0;0
6299.63;2;0;0;0;0;0;0;0
6359.9;2;0;0;0;0;0;0;0
6419.76;2;0;0;0;0;0;0;0
6479.94;2;0;0;0;0;0;0;0
6539.99;2;0;0;0;0;0;0;0
6599.72;2;0;0;0;0;0;0;0
6659.69;2;0;0;0;0;0;0;0
6719.9;2;0;0;0;0;0;0;0
6779.63;2;0;0;0;0;0;0;0
6839.62;2;0;0;0;0;0;0;0
6899.92;2;0;0;0;0;0;0;0
6959.67;2;0;0;0;0;0;0;0
7019.64;2;0;0;0;0;0;0;0
7079.94;2;0;0;0;0;0;0;0
7139.61;2;0;0;0;0;0;0;0
7199.63;2;0;0;0;0;0;0;0
