#TimeStamp;TripTime;Type
50;30;O
54;19;O
57;18;O
66;35;O
68;36;O
69;15;O
78;19;O
80;15;O
86;17;O
105;16;O
113;15;O
122;14;O
135;17;O
155;17;O
155;16;O
168;26;O
192;18;O
203;15;O
203;20;O
212;14;O
236;17;O
241;18;O
244;15;O
256;17;O
258;15;O
304;14;O
324;14;O
327;15;O
338;34;O
350;46;O
368;15;O
379;19;O
383;20;O
386;16;O
393;19;O
396;16;O
405;15;O
412;24;O
415;15;O
425;15;O
427;20;O
437;19;O
437;16;O
443;46;O
462;15;O
463;26;O
483;15;O
500;13;O
544;17;O
558;28;O
569;16;O
571;13;O
596;17;O
609;21;O
609;28;O
616;18;O
632;17;O
636;16;O
640;32;O
649;31;O
658;17;O
669;15;O
686;17;O
700;15;O
710;15;O
723;18;O
725;15;O
750;15;O
754;14;O
780;15;O
794;14;O
807;17;O
814;18;O
821;15;O
829;13;O
830;30;O
839;14;O
841;21;O
855;14;O
864;15;O
895;15;O
906;15;O
944;24;O
956;15;O
965;16;O
975;15;O
990;16;O
1002;16;O
1012;24;O
1014;29;O
1020;33;O
1034;14;O
1051;18;O
1061;18;O
1077;16;O
1083;22;O
1089;38;O
1116;47;O
