#TimeStamp;Bot;Pod;OutputStation
37.48;3;68;1
42.97;1;75;0
47.49;3;68;1
52.89;1;75;0
57.17;3;68;1
62.94;1;75;0
67.42;3;68;1
73.01;1;75;0
77.17;3;68;1
82.94;1;75;0
87.17;3;68;1
92.94;1;75;0
97.17;3;68;1
102.94;1;75;0
107.17;3;68;1
112.94;1;75;0
117.17;3;68;1
122.99;1;75;0
127.17;3;68;1
132.94;1;75;0
137.17;3;68;1
142.94;1;75;0
147.59;3;68;1
152.94;1;75;0
157.59;3;68;1
162.94;1;75;0
167.59;3;68;1
172.94;1;75;0
177.71;3;68;1
182.74;1;75;0
187.59;3;68;1
192.94;1;75;0
197.59;3;68;1
202.94;1;75;0
207.59;3;68;1
212.94;1;75;0
217.88;3;68;1
222.99;1;75;0
228.01;3;68;1
232.94;1;75;0
238.36;3;68;1
242.94;1;75;0
248.01;3;68;1
252.94;1;75;0
258.01;3;68;1
263.08;1;75;0
268.01;3;68;1
273.36;1;75;0
278.01;3;68;1
283.36;1;75;0
288.33;3;68;1
293.15;1;75;0
303.5;1;75;0
313.51;1;75;0
323.36;1;75;0
333.52;1;75;0
343.36;1;75;0
353.61;1;75;0
363.62;1;75;0
373.9;1;75;0
383.78;1;75;0
393.75;1;75;0
404.03;1;75;0
414.45;1;75;0
424.74;1;75;0
434.74;1;75;0
444.74;1;75;0
454.74;1;75;0
464.74;1;75;0
474.74;1;75;0
484.58;0;10;0
494.56;0;10;0
497.51;1;75;1
504.72;0;10;0
507.79;1;75;1
514.8;0;10;0
517.87;1;75;1
524.89;0;10;0
527.91;1;75;1
535.31;0;10;0
538.25;1;75;1
545.66;0;10;0
548.25;1;75;1
555.66;0;10;0
558.25;1;75;1
565.73;0;10;0
568.25;1;75;1
576.12;0;10;0
585.8;0;10;0
595.95;0;10;0
606.17;0;10;0
616.25;0;10;0
626.25;0;10;0
636.25;0;10;0
646.25;0;10;0
656.25;0;10;0
666.37;4;38;0
676.46;4;38;0
679.63;0;10;1
686.49;4;38;0
689.63;0;10;1
696.53;4;38;0
706.59;4;38;0
717.05;4;38;0
727.43;4;38;0
729.83;0;41;1
737.45;4;38;0
740;0;41;1
747.45;4;38;0
750.1;0;41;1
757.43;4;38;0
760.42;0;41;1
767.5;4;38;0
770.5;0;41;1
777.92;4;38;0
780.84;0;41;1
788.27;4;38;0
790.86;0;41;1
798.27;4;38;0
800.84;0;41;1
808.31;4;38;0
817.98;4;38;0
828.14;4;38;0
838.19;5;124;0
848.36;5;124;0
851.12;4;38;1
858.33;5;124;0
861.29;4;38;1
868.33;5;124;0
871.4;4;38;1
878.73;5;124;0
881.71;4;38;1
889.11;5;124;0
891.76;4;38;1
899.08;5;124;0
902.18;4;38;1
908.94;2;19;0
912.31;4;38;1
919.15;2;19;0
922.25;4;38;1
929.2;2;19;0
932.56;4;38;1
939.62;2;19;0
942.52;4;38;1
950;2;19;0
952.52;4;38;1
960.42;2;19;0
962.52;4;38;1
970.8;2;19;0
972.52;4;38;1
980.84;2;19;0
982.52;4;38;1
991.26;2;19;0
992.52;4;38;1
1001.26;2;19;0
1002.52;4;38;1
1011.64;2;19;0
1012.52;4;38;1
1021.26;2;19;0
1022.61;4;38;1
1031.49;3;68;0
1032.96;4;38;1
1041.68;1;75;0
1042.8;4;38;1
1051.92;0;41;0
1052.76;4;38;1
1063.03;5;124;1
1073.21;5;124;1
1083.39;5;124;1
1084.38;1;50;0
1093.47;2;19;1
1097.5;0;167;0
1103.63;2;19;1
1113.68;2;19;1
1123.78;2;19;1
1134.22;2;19;1
1144.37;2;19;1
1154.64;3;68;1
1165.06;4;168;1
1175.19;1;50;1
1185.34;0;167;1
1195.38;5;76;1
