#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
147.17;1;106.16;106.16;-Infinity;106.16;106.16
227.9;1;118.52;118.52;-Infinity;118.52;118.52
262.89;0;230.45;230.45;-Infinity;230.45;230.45
303.45;0;262.68;262.68;-Infinity;262.68;262.68
353.48;0;259.76;259.76;-Infinity;259.76;259.76
403.78;0;268.82;268.82;-Infinity;268.82;268.82
414.32;0;222.1;222.1;-Infinity;222.1;222.10
507.39;1;426.53;426.53;-Infinity;426.53;426.53
517.81;1;511.06;511.06;-Infinity;511.06;511.06
524.84;0;437.17;437.17;-Infinity;437.17;437.17
527.83;1;334.89;334.89;-Infinity;334.89;334.89
535.24;0;413.52;413.51;-Infinity;413.52;413.52
565.66;0;347.82;302.57;-Infinity;347.82;347.82
605.83;0;382.85;201.8;-Infinity;382.85;382.85
706.55;0;529.26;529.26;-Infinity;529.26;529.26
717;0;611.41;611.41;-Infinity;611.41;611.41
750.02;1;725.09;725.09;-Infinity;725.09;725.09
767.43;0;546.28;413.82;-Infinity;546.28;546.28
770.44;1;736.31;736.3;-Infinity;736.31;736.31
777.85;0;550.61;363.4;-Infinity;550.61;550.61
810.88;1;655.34;655.34;-Infinity;655.34;655.34
848.28;0;842.07;842.07;-Infinity;842.07;842.07
871.25;1;766.67;766.67;-Infinity;766.67;766.67
878.66;0;518.61;100.74;-Infinity;518.61;518.61
891.67;1;802.66;802.66;-Infinity;802.66;802.66
902.13;1;720.24;720.24;-Infinity;720.24;720.24
919.11;0;896.3;896.3;-Infinity;896.3;896.30
929.11;0;641.62;212.06;-Infinity;641.62;641.62
939.54;0;721.67;636.03;-Infinity;721.67;721.67
949.96;0;717.44;425.07;-Infinity;717.44;717.44
960;0;704.87;394.27;-Infinity;704.87;704.87
980.42;0;708.52;273.83;-Infinity;708.52;708.52
991.22;0;667.54;223.72;-Infinity;667.54;667.54
1022.52;1;660.45;211.6;-Infinity;660.45;660.45
1041.33;0;982.11;982.11;-Infinity;982.11;982.11
1051.55;0;807.97;516.24;-Infinity;807.97;807.97
1061.99;0;799.74;455.82;-Infinity;799.74;799.74
1062.84;1;678.13;171.09;-Infinity;678.13;678.13
1093.43;1;856.33;565.51;-Infinity;856.33;856.33
1094.29;0;731.44;245.93;-Infinity;731.44;731.44
1103.51;1;787.34;353.41;-Infinity;787.34;787.34
1107.49;0;731.5;228.76;-Infinity;731.5;731.50
1113.62;1;781.82;343.12;-Infinity;781.82;781.82
1123.66;1;957.27;957.27;-Infinity;957.27;957.27
1134.17;1;904.8;616.3;-Infinity;904.8;904.80
1154.42;1;764.45;252.25;-Infinity;764.45;764.45
1164.8;1;936.9;657.01;-Infinity;936.9;936.90
1185.1;1;821.48;313.7;-Infinity;821.48;821.48
1195.24;1;1069.4;1069.4;-Infinity;1069.4;1069.40
1205.78;1;989.3;977.77;-Infinity;989.3;989.30
