#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;36.74;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.64;37.88;0.23;PP/0.02,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.59;37.9;0.28;PP/0.02,TA/0.06,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.59;37.92;0.31;PP/0.02,TA/0.06,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.59;37.93;0.34;PP/0.03,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
299.59;37.93;0.38;PP/0.03,TA/0.11,IS/0,PS/0,RB/0,OB/0.02,RP/0
359.7;37.93;0.41;PP/0.03,TA/0.14,IS/0,PS/0,RB/0,OB/0.02,RP/0
419.8;37.93;0.42;PP/0.03,TA/0.16,IS/0,PS/0,RB/0,OB/0.02,RP/0
479.74;37.93;0.44;PP/0.03,TA/0.17,IS/0,PS/0,RB/0,OB/0.02,RP/0
539.61;38.1;0.47;PP/0.03,TA/0.2,IS/0,PS/0,RB/0,OB/0.02,RP/0
599.63;38.23;0.5;PP/0.03,TA/0.22,IS/0,PS/0,RB/0,OB/0.02,RP/0
659.63;38.23;0.53;PP/0.03,TA/0.23,IS/0,PS/0,RB/0,OB/0.02,RP/0
719.91;38.25;0.56;PP/0.03,TA/0.25,IS/0,PS/0,RB/0,OB/0.02,RP/0
779.6;38.25;0.59;PP/0.03,TA/0.27,IS/0,PS/0,RB/0,OB/0.02,RP/0
839.72;38.25;0.61;PP/0.03,TA/0.28,IS/0,PS/0,RB/0,OB/0.02,RP/0
899.99;38.25;0.64;PP/0.03,TA/0.28,IS/0,PS/0,RB/0,OB/0.02,RP/0
959.96;38.4;0.69;PP/0.03,TA/0.31,IS/0,PS/0,RB/0,OB/0.02,RP/0
1019.96;38.4;0.72;PP/0.05,TA/0.31,IS/0,PS/0,RB/0,OB/0.02,RP/0
1079.97;38.4;0.75;PP/0.05,TA/0.33,IS/0,PS/0,RB/0,OB/0.02,RP/0
1139.68;38.4;0.77;PP/0.06,TA/0.33,IS/0,PS/0,RB/0,OB/0.02,RP/0
1199.95;38.4;0.8;PP/0.06,TA/0.33,IS/0,PS/0,RB/0,OB/0.02,RP/0
1259.84;38.41;0.8;PP/0.06,TA/0.33,IS/0,PS/0,RB/0,OB/0.02,RP/0
