#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.64;0;0;0;2;0/59.64;0/43.28,1/38.11;0/0;0/59.64,1/59.64;0/0;0/15,1/10;0/0;0/20,1/10;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/2,1/3
119.59;0;0;0;2;0/119.59;0/44.06,1/40.38;0/0;0/119.59,1/119.59;0/0;0/19,1/17;0/0;0/24,1/17;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/9
179.59;0;0;0;2;0/179.59;0/44.86,1/43.2;0/0;0/179.59,1/179.59;0/0;0/25,1/22;0/0;0/30,1/22;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/14,1/15
239.59;0;0;0;2;0/239.59;0/45.89,1/45.2;0/0;0/239.59,1/239.59;0/0;0/22,1/27;0/0;0/27,1/27;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/20,1/21
299.59;0;0;0;2;0/299.59;0/47.42,1/48.18;0/0;0/299.59,1/299.59;0/0;0/18,1/22;0/0;0/24,1/22;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/26,1/26
359.7;0;0;0;2;0/359.7;0/48.82,1/108.28;0/0;0/359.7,1/359.7;0/0;0/22,1/22;0/0;0/28,1/22;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/32,1/26
419.8;0;0;0;2;0/419.8;0/51.11,1/168.38;0/0;0/419.8,1/419.8;0/0;0/23,1/22;0/0;0/29,1/22;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/38,1/26
479.74;0;0;0;2;0/479.74;0/51.89,1/228.33;0/0;0/479.74,1/479.74;0/0;0/18,1/21;0/0;0/23,1/22;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/44,1/26
539.61;0;2;0;2;0/539.61;0/53.67,1/247.49;0/0;0/539.61,1/539.61;0/0;0/18,1/29;0/0;0/23,1/29;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/50,1/31
599.63;0;2;0;2;0/599.63;0/54.94,1/269.04;0/0;0/599.63,1/599.63;0/0;0/14,1/26;0/0;0/20,1/26;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/56,1/34
659.63;0;2;0;2;0/659.63;0/57.37,1/329.04;0/0;0/659.63,1/659.63;0/0;0/15,1/26;0/0;0/20,1/26;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/62,1/34
719.91;0;4;0;2;0/719.91;0/58.8,1/370.01;0/0;0/719.91,1/719.91;0/0;0/17,1/23;0/0;0/21,1/24;0/0;0/0,1/0;0/0;0/2,1/2;0/0;0/68,1/36
779.6;0;5;0;2;0/779.6;0/59.99,1/381.34;0/0;0/779.6,1/779.6;0/0;0/18,1/25;0/0;0/22,1/26;0/0;0/0,1/0;0/0;0/2,1/3;0/0;0/74,1/41
839.72;0;6;0;2;0/839.72;0/60.93,1/410.41;0/0;0/839.72,1/839.72;0/0;0/12,1/25;0/0;0/16,1/26;0/0;0/0,1/0;0/0;0/3,1/3;0/0;0/80,1/44
899.99;0;7;0;2;0/899.99;0/62.79,1/423.19;0/0;0/899.99,1/899.99;0/0;0/13,1/26;0/0;0/17,1/27;0/0;0/0,1/0;0/0;0/3,1/4;0/0;0/86,1/49
959.96;0;8;0;2;0/959.96;0/64.54,1/424.51;0/0;0/959.96,1/959.96;0/0;0/8,1/22;0/0;0/12,1/24;0/0;0/0,1/0;0/0;0/4,1/4;0/0;0/91,1/55
1019.96;0;8;0;2;0/1019.96;0/67.19,1/425.03;0/0;0/1019.96,1/1019.96;0/0;0/2,1/16;0/0;0/6,1/18;0/0;0/0,1/0;0/0;0/4,1/4;0/0;0/97,1/61
1079.97;0;12;0;2;0/1079.97;0/87.15,1/426.95;0/0;0/1079.97,1/1079.97;0/0;0/0,1/8;0/0;0/2,1/12;0/0;0/0,1/0;0/0;0/7,1/5;0/0;0/101,1/67
1139.68;0;15;0;2;0/1139.68;0/127.29,1/428.54;0/0;0/1139.68,1/1139.68;0/0;0/0,1/0;0/0;0/0,1/6;0/0;0/0,1/0;0/0;0/9,1/6;0/0;0/103,1/73
1199.95;0;20;0;2;0/1199.95;0/187.56,1/430.96;0/0;0/1199.95,1/1199.95;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1259.84;0;20;0;2;0/1259.84;0/247.45,1/485.02;0/0;0/1259.84,1/1259.84;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1319.95;0;20;0;2;0/1319.95;0/307.56,1/545.13;0/0;0/1319.95,1/1319.95;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1379.6;0;20;0;2;0/1379.6;0/367.21,1/604.78;0/0;0/1379.6,1/1379.6;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1439.69;0;20;0;2;0/1439.69;0/427.3,1/664.87;0/0;0/1439.69,1/1439.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1499.69;0;20;0;2;0/1499.69;0/487.3,1/724.87;0/0;0/1499.69,1/1499.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1559.69;0;20;0;2;0/1559.69;0/547.3,1/784.87;0/0;0/1559.69,1/1559.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1619.69;0;20;0;2;0/1619.69;0/607.3,1/844.87;0/0;0/1619.69,1/1619.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1679.69;0;20;0;2;0/1679.69;0/667.3,1/904.87;0/0;0/1679.69,1/1679.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1739.69;0;20;0;2;0/1739.69;0/727.3,1/964.87;0/0;0/1739.69,1/1739.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1799.69;0;20;0;2;0/1799.69;0/787.3,1/1024.87;0/0;0/1799.69,1/1799.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
1859.69;0;20;0;2;0/1859.69;0/847.3,1/1084.87;0/0;0/1859.69,1/1859.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/11;0/0;0/103,1/79
