#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
86.31;0;85.77;85.77;-Infinity;85.77;85.77
107.2;1;106.5;106.5;-Infinity;106.5;106.50
137.21;1;135.83;135.83;-Infinity;135.83;135.83
173.87;1;170.83;170.83;-Infinity;170.83;170.83
201.52;0;195.5;195.47;-Infinity;195.5;195.50
222.14;0;221.15;221.15;-Infinity;221.15;221.15
232.22;0;229.73;229.73;-Infinity;229.73;229.73
254.59;1;250.64;250.64;-Infinity;250.64;250.64
262.54;0;258.81;258.81;-Infinity;258.81;258.81
352.41;0;344.47;344.47;-Infinity;344.47;344.47
363.06;0;352.34;352.34;-Infinity;352.34;352.34
364.74;1;357.37;357.36;-Infinity;357.37;357.37
384.72;1;378.51;378.51;-Infinity;378.51;378.51
393.28;0;389.18;389.18;-Infinity;389.18;389.18
394.95;1;388.98;388.95;-Infinity;388.98;388.98
403.21;0;396.46;396.46;-Infinity;396.46;396.46
423.52;0;409.3;409.3;-Infinity;409.3;409.30
441.98;1;433.16;433.16;-Infinity;433.16;433.16
452.02;1;440.33;440.33;-Infinity;440.33;440.33
453.57;0;441.86;441.84;-Infinity;441.86;441.86
483.9;0;465.76;397.55;-Infinity;465.76;465.76
522.51;1;510.31;510.31;-Infinity;510.31;510.31
534.72;0;518.25;518.25;-Infinity;518.25;518.25
580;0;559.28;378.19;-Infinity;559.28;559.28
633.06;1;615.59;615.59;-Infinity;615.59;615.59
653.4;1;629.13;398.67;-Infinity;629.13;629.13
663.65;1;644.85;526.36;-Infinity;644.85;644.85
701.41;0;678.6;468.91;-Infinity;678.6;678.60
714.18;1;695.79;606.94;-Infinity;695.79;695.79
734.38;1;705.19;369.59;-Infinity;705.19;705.19
754.68;1;722.51;359.69;-Infinity;722.51;722.51
804.8;1;770.51;282.18;-Infinity;770.51;770.51
835.25;1;816.24;661.06;-Infinity;816.24;816.24
851.73;0;828.92;629.5;-Infinity;828.92;828.92
862.1;0;837.18;599.52;-Infinity;837.18;837.18
865.17;1;834.71;480.25;-Infinity;834.71;834.71
875.61;1;843.17;433.51;-Infinity;843.17;843.17
936.1;0;909.29;583.28;-Infinity;909.29;909.29
945.94;1;907.82;292.39;-Infinity;907.82;907.82
960.07;0;932.07;596.83;-Infinity;932.07;932.07
976.46;1;943.21;524.16;-Infinity;943.21;943.21
986.63;1;950.13;353.52;-Infinity;950.13;950.13
1008.7;0;977.01;615.37;-Infinity;977.01;977.01
1016.6;1;976.04;302.27;-Infinity;976.04;976.04
1032.69;1;994.05;368.75;-Infinity;994.05;994.05
1089.16;0;1055.03;604.88;-Infinity;1055.03;1055.03
1139.32;0;1107.11;735.78;-Infinity;1107.11;1107.11
1149.78;0;1115.9;695.92;-Infinity;1115.9;1115.90
1162.51;1;1121.15;357.57;-Infinity;1121.15;1121.15
1169.79;0;1130.87;468.33;-Infinity;1130.87;1130.87
1172.88;1;1132.11;438.22;-Infinity;1132.11;1132.11
1180.14;0;1147.88;756.37;-Infinity;1147.88;1147.88
1195.85;1;1181.63;1181.59;-Infinity;1181.63;1181.63
1230.78;0;1195.85;695.65;-Infinity;1195.85;1195.85
1240.97;0;1204.55;660.93;-Infinity;1204.55;1204.55
1251.49;0;1208.98;399.72;-Infinity;1208.98;1208.98
1261.55;0;1218.67;399.36;-Infinity;1218.67;1218.67
1291.99;0;1246.87;355.79;-Infinity;1246.87;1246.87
1295.13;1;1252.06;429.72;-Infinity;1252.06;1252.06
1327.77;0;1278.84;367.43;-Infinity;1278.84;1278.84
1355.1;1;1314.08;600.37;-Infinity;1314.08;1314.08
1395.51;1;1353.49;560.15;-Infinity;1353.49;1353.49
1405.95;1;1357.48;459.84;-Infinity;1357.48;1357.48
1460.01;0;1399.04;279.65;-Infinity;1399.04;1399.04
1466.13;1;1414.62;479.46;-Infinity;1414.62;1414.62
1480.02;0;1427.95;471.02;-Infinity;1427.95;1427.95
1490.58;0;1433.18;340.74;-Infinity;1433.18;1433.18
1510.47;0;1454.06;371;-Infinity;1454.06;1454.06
1515.66;1;1461.01;498.87;-Infinity;1461.01;1461.01
1525.5;1;1480.9;649.75;-Infinity;1480.9;1480.90
1530.81;0;1475.08;441.39;-Infinity;1475.08;1475.08
1555.32;0;1495.41;385.38;-Infinity;1495.41;1495.41
1586.91;0;1524.58;356.08;-Infinity;1524.58;1524.58
1611.45;1;1552.23;448.89;-Infinity;1552.23;1552.23
1636.25;0;1568.66;384.72;-Infinity;1568.66;1568.66
1639.75;1;1577.68;443.85;-Infinity;1577.68;1577.68
1682.14;1;1621.87;509.21;-Infinity;1621.87;1621.87
1686.42;0;1618.23;424.56;-Infinity;1618.23;1618.23
1702.77;1;1653.68;726.24;-Infinity;1653.68;1653.68
1786.71;0;1714.66;326.51;-Infinity;1714.66;1714.66
1796.99;0;1728.13;504.95;-Infinity;1728.13;1728.13
1807.11;0;1739.74;566;-Infinity;1739.74;1739.74
1817.44;0;1747.02;489.39;-Infinity;1747.02;1747.02
1820.84;1;1748.1;354.66;-Infinity;1748.1;1748.10
1850.99;1;1780.09;495.54;-Infinity;1780.09;1780.09
1860.89;1;1805.62;827.84;-Infinity;1805.62;1805.62
1871.23;1;1801.47;576.02;-Infinity;1801.47;1801.47
1888.24;0;1814.31;407.97;-Infinity;1814.31;1814.31
1901.21;1;1825.56;385.47;-Infinity;1825.56;1825.56
1918.64;0;1844.68;427.96;-Infinity;1844.68;1844.68
1961.56;1;1889.55;555.47;-Infinity;1889.55;1889.55
1981.72;1;1904.67;455.84;-Infinity;1904.67;1904.67
2001.95;1;1921.09;390.28;-Infinity;1921.09;1921.09
2012.16;1;1927.83;372.29;-Infinity;1927.83;1927.83
2028.67;0;1954.67;517.94;-Infinity;1954.67;1954.67
2082.52;1;1993.52;261.64;-Infinity;1993.52;1993.52
2086.82;0;2006.86;499.71;-Infinity;2006.86;2006.86
